Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki fulani alizungumza na mkurugenzi wa kituo hicho.	Mtu dhaifu alizungumza na mkurugenzi.
Mtu mmoja Mkatoliki aliuza kitabu cha kukunjwa.	Mtu mwema aliuza mkate.
Mtu Mkatoliki alimpenda jamaa yake.	Mtu mbaya alimpenda jamaa.
Mtu Mkatoliki alimchukia meya.	Mtu safi alichukia meya.
Mkatoliki fulani alimkatiza mhudumu wa kanisa.	Mtu asiye na ujuzi alivunja shauri la Waziri.
Mtu mmoja Mkatoliki alitoa pete.	Mtu mwenye hekima alitoa pete.
Mkatoliki mmoja alikutana na mkuu wa shule.	Mtu safi alikutana na mkuu wa idara.
Mkatoliki mmoja alimtembelea kamanda.	Mtu mwenye akili alimtembelea kamanda.
Mtu Mkatoliki aliuza mango.	Mtu mwenye akili aliuza mango.
Mtu Mkatoliki anaweza kumudu ng'ombe.	Mtu mwenye haki anaweza kumudu ng'ombe.
Mtu Mkatoliki alimtembelea swami.	Mtu asiye na utani alimtembelea swami.
Mtu Mkatoliki anamiliki kabati.	Mtu mwenye jeuri anamiliki kabati.
Mtu fulani Mkatoliki alimwita mkuu wa shule.	Mtu mchafu alimwita mkuu wa shule.
Mtu Mkatoliki aliuza kamera.	Mtu mwaminifu aliuza kamera.
Mtu Mkatoliki anaweza kumudu kompyuta.	Mtu mwenye sura mbaya anaweza kumudu kompyuta.
Mkatoliki alimtembelea mgeni.	Mtu mwenye akili alimtembelea mgeni.
Mkatoliki mmoja alitoa kompyuta.	Mtu mkatili alitoa kompyuta.
Mkatoliki alikutana na bwana mkubwa.	Mtu asiye na ujuzi alikutana na bwana mkubwa.
Mtu Mkatoliki aliweka bajeti ya mashine ya kunasa.	Mtu mzuri sana aliweka bajeti ya stapler.
Mtu Mkatoliki aitwaye Knight.	Mtaalamu wa kazi aitwaye Knight.
Mtu mmoja Mkatoliki alitoa tochi.	Mtu mzuri alitoa taa.
Mtu Mkatoliki alibadilisha laptop.	Mtu asiye na maarifa alibadilisha laptop.
Mtu Mkatoliki alikula mkate.	Mtu mmoja mwenye hila alikula mkate.
Mtu mmoja Mkatoliki alitoa punda.	Mtu mpumbavu alitoa punda.
Mtu Mkatoliki anamiliki farasi.	Mtu mjanja ana farasi.
Mtu mmoja Mkatoliki alibadilisha kofia ya chuma.	Mtu mwovu alibadilisha kofia.
Mtu mmoja Mkatoliki alitoa koti.	Mtu mwovu alitoa koti.
Mtu Mkatoliki alichukia kiongozi.	Mtu mwenye utaratibu alichukia kiongozi.
Mtu Mkatoliki alimpenda mwanajeshi.	Mtu safi alipenda knight.
Mtu Mkatoliki aliweka bajeti ya gari.	Mtu mwenye akili aliweka bajeti ya gari.
Mkatoliki alibadilisha kuku.	Mtu mwenye haki alibadilisha kuku.
Mtu Mkatoliki alinunua gari la aina ya SUV.	Mtu mwenye nguvu alinunua gari la aina ya SUV.
Mtu Mkatoliki alipenda tajiri.	Mtu mpumbavu alipenda tajiri.
Mtu Mkatoliki alilipa kwa simu.	Mtu mwenye hila alilipa kwa simu.
Mkatoliki alipenda mtawala mwenye kutawala.	Mtu safi alipenda autocrat.
Mkatoliki mmoja alimtambulisha nahodha.	Mtu mwenye pupa alimtambua nahodha.
Mkatoliki alizungumza na dikteta.	Mtu mbaya alizungumza na dikteta.
Mtu Mkatoliki alibadilisha punda.	Mtu asiye na utani alibadilisha punda.
Mkatoliki alipenda kuwa na konzula.	Mtu mchafu alipenda mwanakondoo.
Mkatoliki mmoja alifanya urafiki na mtu mzima.	Mtu mwenye akili alianzisha urafiki na mtu mzima.
Mkatoliki alikutana na mrithi.	Mtu safi alikutana na mrithi.
Mtu Mkatoliki aitwaye kijana.	Mtu asiye na utani aitwaye kijana.
Mtu mmoja Mkatoliki aliuza kofia.	Mtu mwenye hasira aliuza kofia.
Mtu mmoja Mkatoliki aliuza kifaa cha kuunganisha.	Mtu mkatili aliuza kifaa cha kuunganisha.
Mtu Mkatoliki aitwaye vizier.	Mtu mwenye pupa aitwaye vizier.
Mtu mmoja Mkatoliki aliuza beret.	Mtu mwenye pupa aliuza beret.
Mtu Mkatoliki alibadilisha punda.	Mtu mwenye akili alibadilisha punda.
Mtu Mkatoliki alikula muffin.	Mtu asiye mtaalamu alikula muffin.
Mtu Mkatoliki anaweza kumudu kiatu.	Mtu asiye na uvumilivu anaweza kumudu kiatu.
Mtu Mkatoliki alilipa kwa ajili ya kuku.	Mtu asiyejua kitu alilipa kwa kuku.
Mkatoliki mmoja alimtambulisha kijana mmoja.	Mtu mwenye akili alifafanua kijana mmoja.
Mkatoliki alimtembelea Waziri Mkuu.	Mtu mwenye tabia mbaya alimtembelea waziri mkuu.
Mtu Mkatoliki aliweka bajeti ya gari.	Mtu asiye safi aliweka bajeti ya gari.
Mkatoliki fulani alimkatiza mwanafunzi wa darasa la mwisho.	Mtu mchafu alimkatiza mwanafunzi wa mwisho.
Mkatoliki mmoja alimtambulisha kiongozi.	Mtu mbaya alitambua kiongozi.
Mkatoliki fulani alimkatiza mkuu wa jeshi.	Mtu mpumbavu alimkatiza mkuu.
Mtu Mkatoliki anamiliki nguo.	Mtu mbaya anamiliki nguo.
Mtu Mkatoliki alilipa kwa benchi.	Mtu mwenye tabia mbaya alilipa kwa benchi.
Mtu Mkatoliki alibadilisha gari moshi.	Mtu mwenye tabia mbaya alibadilisha gari moshi.
Mtu Mkatoliki alimwita hakimu.	Mtu asiye na uvumilivu aliitwa hakimu.
Mkatoliki fulani alimkatiza mkurugenzi.	Mtu mpumbavu alimkatiza mtendaji.
Mtu Mkatoliki aliokoa nguruwe.	Mtu mpumbavu aliokoa nguruwe.
Mtu Mkatoliki alikula ndizi.	Mtu mwaminifu alikula ndizi.
Mtu Mkatoliki aliokoa gari moshi.	Mtu mwenye udanganyifu aliokoa gari-moshi.
Mtu Mkatoliki alitambua mtawala wa kujitegemea.	Mtu mwenye akili aliweza kumtambua mtawala wa kujitegemea.
Mkatoliki mmoja alimtambulisha Commodore.	Mtu mbaya alitambua commodore.
Mkatoliki mmoja alimtembelea amiri.	Mtu safi alimtembelea amirali.
Mkatoliki mmoja alimtembelea mfanyakazi mmoja.	Mtu mwenye chuki alimtembelea mfanyakazi.
Mtu Mkatoliki alimchukia meya.	Mtu mwenye hekima alimchukia meya.
Mkatoliki alibadilisha nguruwe.	Mtu mwenye akili alibadilisha nguruwe.
Mkatoliki alichukia dikteta.	Mtu mwenye hila alimchukia dikteta.
Mtu Mkatoliki alimpenda mwenzake.	Mtu dhaifu alimpenda mwenzake.
Mkatoliki mmoja alikutana na mmiliki.	Mtu mbaya alikutana na mmiliki.
Mtu Mkatoliki anaweza kumudu ndizi.	Mtu mpole anaweza kumudu ndizi.
Mtu Mkatoliki alinunua koti.	Mtu mzuri alinunua koti.
Mtu Mkatoliki alipenda earl.	Mtu asiye na ucheshi alipenda earl.
Mtu mmoja Mkatoliki alilipa kwa ajili ya mashine ya kuchapisha.	Mtu mwovu alilipa kwa ajili ya printer.
Mkatoliki alichukia kuabudu kwa kiongozi.	Mtu asiye na ujuzi alichukia umaarufu.
Mkatoliki mmoja alikuwa rafiki wa rais.	Mtu mzuri alianzisha urafiki na rais.
Mtu Mkatoliki anaweza kumudu chakula cha mchana.	Mtu mwenye kiburi anaweza kumudu chakula cha mchana.
Mtu Mkatoliki alinunua keki.	Mtu asiye safi alinunua keki.
Mkatoliki mmoja alimtambua mtu mwenye cheo cha juu.	Mtu mkarimu alionyesha kwamba alikuwa mtu mwenye heshima.
Mkatoliki mmoja alianzisha urafiki na mwakilishi.	Mtu asiye na ujuzi alifanya urafiki na mwakilishi.
Mtu Mkatoliki anaweza kumudu pizza.	Mtu mjanja anaweza kumudu pizza.
Mkatoliki alibadilisha mbwa.	Mtu asiye safi alibadilisha mbwa.
Mtu Mkatoliki anamiliki chakula cha mchana.	Mtu mwenye akili ana chakula cha mchana.
Mkatoliki alikutana na gavana.	Mtu mwema alikutana na gavana.
Mtu Mkatoliki alimwita mwenzake.	Mtaalamu mtu aitwaye fellow.
Mtu Mkatoliki alibadilisha punda.	Mtu mmoja mkarimu alibadilisha punda.
Mtu Mkatoliki aliuza tunda.	Mtu mwema aliuza tunda.
Mtu Mkatoliki alioka supu.	Mtu dhaifu alioka supu.
Mtu Mkatoliki aliuza gari la aina ya SUV.	Mtu mkarimu aliuza gari la aina ya SUV.
Mtu Mkatoliki aliokoa kitanda.	Mtu safi aliokoa kitanda.
Mtu Mkatoliki aliandaa chakula.	Mtu mwovu alitayarisha mlo.
Mtu Mkatoliki aitwaye aristocrat.	Mtu mwenye pupa aitwaye aristocrat.
Mtu Mkatoliki alimpenda mkuu wa shule.	Mtu mwenye jeuri alimpenda mkuu wa shule.
Mkatoliki mmoja alimtambulisha mwakilishi.	Mtu mwenye tabia mbaya alibainisha mwakilishi.
Mtu Mkatoliki alinunua peach.	Mtu mbaya alinunua peach.
Mkatoliki alilipa kwa ajili ya mbuzi.	Mtu mwovu alilipa kwa ajili ya mbuzi.
Mkatoliki alikutana na amiri.	Mtu asiye na ujuzi alikutana na amiri.
Mkatoliki alichukia mtawala.	Mtu mwenye nguvu alichukia mtawala.
Mtu Mkatoliki aliokoa kifaa cha kusikiliza.	Mtu asiye na maarifa aliokoa kipaza sauti.
Mtu Mkatoliki alianguka kwenye gari.	Mtu mbaya alianguka kwenye gari.
Mtu Mkatoliki alipenda bosi.	Mtu mwovu alipenda bosi.
Mtu Mkatoliki alioka supu.	Mtu mwenye hila alioka supu.
Mtu Mkatoliki anaweza kumudu kiti.	Mtu mwenye hekima anaweza kumudu kiti.
Mkatoliki alibadilisha nyati.	Mtu mwenye nguvu alibadilisha nyati.
Mkatoliki mmoja alimtambulisha nahodha.	Mtu asiye na utani alimtambua nahodha.
Mtu Mkatoliki aitwaye wafanyakazi.	Mtu mwenye kiburi aitwaye kundi.
Mkatoliki alichukia aristocrat.	Mtu mwenye haki alichukia aristocrat.
Mtu mmoja Mkatoliki alibadilisha TV.	Mtu mwenye kiburi alibadilisha televisheni.
Mkatoliki mmoja alikutana na mwalimu mkuu.	Mtu mzuri alikutana na mkuu wa shule.
Mtu Mkatoliki aliweka bajeti ya muffin.	Mtu mwenye akili aliweka bajeti ya keki.
Mkatoliki alikula supu.	Mtu mbaya alikula supu.
Mkatoliki alimkatiza kamanda.	Mtu asiye na maarifa alimkatiza kamanda.
Mtu Mkatoliki alipenda mtu aliyemfahamu.	Mtu mwenye pupa alipendezwa na mtu aliyemfahamu.
Mkatoliki alikutana na mtawala.	Mtu mchafu alikutana na mtawala.
Mkatoliki alibadilisha kabati.	Mtu mwenye utaratibu alibadilisha kabati.
Mkatoliki alibadilisha kiti cha kuandama.	Mtu mwovu alibadilisha kiti cha kuandama.
Mtu mmoja Mkatoliki alitoa koti.	Mtu mwenye haki alitoa koti.
Mtu Mkatoliki aliweka bajeti ya pudding.	Mtu mnyofu aliweka bajeti ya pudding.
Mtu Mkatoliki alipenda kiongozi.	Mtu mzuri alipenda kiongozi.
Mtu Mkatoliki aliweka bajeti ya pete.	Mtu mwenye udanganyifu aliweka bajeti ya pete.
Mtu Mkatoliki alimpenda makamu wa rais.	Mtu mpumbavu alipenda makamu wa rais.
Mtu Mkatoliki aliandaa chakula.	Mtu safi alitayarisha chakula.
Mtu Mkatoliki alimchukia meya.	Mtu mwenye tabia mbaya alimchukia meya.
Mtu Mkatoliki alibadilishana mango.	Mtu asiye na maarifa alibadilisha mango.
Mtu Mkatoliki aliuza mkate.	Mtu mnyofu aliuza mkate.
Mtu mmoja Mkatoliki alitoa vazi.	Mtu mwenye akili alitoa vazi.
Mkatoliki fulani alimkatiza mama mkwe.	Mtu mwenye akili alivunja usemi wa mama mkwe.
Mtu Mkatoliki alinunua basi.	Mtu asiye na uvumilivu alinunua basi.
Mkatoliki alikutana na mtawala.	Mtu mwenye akili alipata kiongozi.
Mkatoliki mmoja alinunua mwana-kondoo.	Mtu asiye na uvumilivu alinunua mwana-kondoo.
Mkatoliki mmoja alibadilisha toaster.	Mtaalamu alibadilisha toaster.
Mtu Mkatoliki alilipa kwa ajili ya TV.	Mtu asiye na uvumilivu alilipa kwa ajili ya TV.
Mtu mmoja Mkatoliki alitoa gari la jeep.	Mtu mwenye akili alitoa gari la jeep.
Mtu Mkatoliki aliangusha gari la aina ya SUV.	Mtu asiye na ujuzi aliangusha gari la aina ya SUV.
Mkatoliki fulani alimkatiza askofu.	Mtu mpumbavu alimkatiza askofu.
Mtu mmoja Mkatoliki alitoa nyati.	Mtu mmoja mchafu alitoa nyati.
Mtu Mkatoliki aliweka bajeti ya aproni.	Mtu mzuri sana aliweka bajeti ya aproni.
Mtu Mkatoliki alimpenda sheikh.	Mtu dhaifu alipenda sheikh.
Mkatoliki mmoja alimpenda kijana mmoja.	Mtu mwema alimpenda kijana.
Mkatoliki fulani alimkatiza mhudumu wa kanisa.	Mtu asiye na utamu alimkatiza mheshimiwa.
Mtu Mkatoliki alilipa kwa ajili ya keki.	Mtaalamu alilipa kwa ajili ya keki.
Mtu Mkatoliki alinunua kompyuta ndogo.	Mtu mwenye hasira alinunua laptop.
Mtu Mkatoliki aliokoa TV.	Mtu mwenye pupa aliokoa televisheni.
Mkatoliki aliweka bajeti ya mbuzi.	Mtu mchafu aliweka bajeti ya mbuzi.
Mtu Mkatoliki alitoa sofa.	Mtu mwenye hila alitoa sofa.
Mkatoliki anaweza kumudu punda.	Mtu asiye na uvumilivu anaweza kumudu punda.
Mkatoliki fulani alivunja mkutano.	Mtaalamu alivunja kikundi.
Mkatoliki alikula supu.	Mtu safi alimaliza supu.
Mtu Mkatoliki alikula donut.	Mtu mwaminifu alikula donut.
Mtu Mkatoliki anaweza kumudu mavazi.	Mtu mwenye jeuri anaweza kumudu mavazi.
Mtu mmoja Mkatoliki alimtambua waziri mkuu.	Mtu mwenye tabia mbaya alimtambua waziri mkuu.
Mtu Mkatoliki aliuza sungura.	Mtu mwenye akili aliuza sungura.
Mtu Mkatoliki aitwaye mfalme.	Mtu mwenye akili nyingi aitwaye mfalme.
Mkatoliki alimkatiza mtawala mkatili.	Mtu mwenye akili alivunja maneno ya mtawala mkatili.
Mtu Mkatoliki anamiliki kabati.	Mtu mwenye nguvu anamiliki kabati.
Mkatoliki aliweka bajeti ya mkate.	Mtu mwenye akili aliweka bajeti ya mkate.
Mtu Mkatoliki alibadilisha mavazi.	Mtu dhaifu alibadilisha mavazi.
Mkatoliki mmoja alianzisha urafiki na nahodha mmoja.	Mtu mwenye akili alijifanya rafiki wa nahodha.
Mkatoliki mmoja alibadilisha aproni.	Mtu dhaifu alibadilisha aproni.
Mkatoliki alichukia mteja.	Mtu mkarimu alichukia mteja.
Mtu Mkatoliki alimpenda mzee wake.	Mtu asiyejua alipenda babu yake.
Mtu mmoja Mkatoliki alitoa mchango wa nyumbu.	Mtu mwenye tabia mbaya alitoa punda.
Mtu Mkatoliki aliweka bajeti ya kompyuta.	Mtu mnyofu aliweka bajeti ya kompyuta.
Mtu Mkatoliki aliweka bajeti ya vazi.	Mtu asiye na elimu aliweka bajeti ya vazi.
Mkatoliki alizungumza na mtawala mkatili.	Mtu mwema alizungumza na mtawala wa kikatili.
Mtu Mkatoliki anamiliki televisheni.	Mtu mwenye akili ana televisheni.
Mkatoliki alimkatiza kijana mmoja.	Mtu fulani asiye safi alimkatiza kijana fulani.
Mtu mmoja Mkatoliki aliokoa saa.	Mtu asiye na ujuzi aliokoa saa.
Mkatoliki mmoja alianzisha urafiki na kamanda.	Mtu mpumbavu alijifanya rafiki wa kamanda.
Mtu Mkatoliki aliuza paka.	Mtu mwenye kiburi aliuza paka.
Mtu mmoja Mkatoliki aliuza zulia.	Mtu mbaya sana aliuza zulia.
Mkatoliki mmoja aliandaa tunda la mtofaa.	Mtu mwenye chuki alitayarisha tunda.
Mtu Mkatoliki anamiliki muffin.	Mtu asiye mtaalamu anamiliki muffin.
Mtu Mkatoliki anaweza kumudu mkanda.	Mtu asiye na ucheshi anaweza kumudu aproni.
Mtu Mkatoliki anamiliki heater.	Mtu mchafu anamiliki heater.
Mkatoliki alipenda mtawala wa kujitegemea.	Mtu mwenye nguvu alipenda mtawala mwenye nguvu.
Mtu Mkatoliki alimwita Waziri Mkuu.	Mtu mzuri aitwaye waziri mkuu.
Mtu Mkatoliki anamiliki mbuzi.	Mtu mwenye tabia mbaya ana mbuzi.
Mkatoliki alikutana na mtawala.	Mtu asiye na ujuzi alikutana na mtawala.
Mkatoliki mmoja alibadilisha aproni.	Mtu asiye safi alibadilisha aproni.
Mkatoliki alikutana na gavana.	Mtu mwenye chuki alikutana na gavana.
Mtu mmoja Mkatoliki alitoa pudding.	Mtu mmoja mwenye fadhili alitoa budding.
Mtu Mkatoliki alinunua sandwich.	Mtu mzuri alinunua sandwich.
Mtu mmoja Mkatoliki alibadilisha farasi.	Mtu mwenye hasira alibadilisha farasi.
Mtu Mkatoliki alibadilishana sandwich.	Mtu mwenye hekima alibadilishana sandwich.
Mtu Mkatoliki alinunua blauzi.	Mtu asiye na ucheshi alinunua fulana.
Mtu Mkatoliki anaweza kumudu donut.	Mtu mwenye kiburi anaweza kumudu donut.
Mtu Mkatoliki alilipa kwa ajili ya ng'ombe.	Mtaalamu alilipa kwa ng'ombe.
Mtu Mkatoliki alimpenda makamu wa rais.	Mtu mwenye hekima alimpenda makamu wa rais.
Mkatoliki mmoja alianzisha urafiki na mfuasi wake.	Mtu mwovu alianzisha urafiki na mtu anayemheshimu.
Mtu Mkatoliki aliokoa paka.	Mtu asiye na utani aliokoa paka.
Mtu mmoja Mkatoliki alinunua mkate.	Mtu mwenye akili alinunua mkate.
Mkatoliki aliweka bajeti ya ng'ombe.	Mtu mpumbavu aliweka bajeti ya ng'ombe.
Mtawa fulani Mkatoliki alimkatiza gavana.	Mfadhili fulani alimkatiza gavana.
Mtu mmoja Mkatoliki alitoa simu.	Mtu asiye na elimu alitoa simu.
Mtu Mkatoliki aliweka bajeti ya kofia.	Mtu mzuri sana aliweka bajeti ya kofia.
Mtu Mkatoliki aitwaye wafanyakazi.	Mtu mwaminifu aitwaye kundi.
Mtu Mkatoliki anamiliki aproni.	Mtu asiye na ucheshi ana aproni.
Mtu Mkatoliki alilipa kwa ajili ya calculator.	Mtu safi alilipa kwa ajili ya calculator.
Mkatoliki mmoja alimtambulisha mwakilishi.	Mtu mbaya sana alitambua mwakilishi.
Mkatoliki alimtembelea mgeni.	Mtu mwenye hekima alimtembelea mgeni.
Mkatoliki mmoja alimtambulisha mtu fulani.	Mtu mwenye akili alimtambua mtu fulani.
Mtu Mkatoliki aliuza sofa.	Mtu mkarimu aliuza sofa.
Mkatoliki alimkatiza mtawala wa nchi.	Mtu mbaya alimkatiza mtawala wa kujitegemea.
Mtu mmoja Mkatoliki alibadilishana aproni.	Mtu mwenye akili alibadilishana aproni.
Mtu Mkatoliki alikula peach.	Mtu mwenye usafi alikula peach.
Mkatoliki mmoja alizungumza na mtawala fulani.	Mtu mwenye akili alizungumza na mtawala.
Mtu Mkatoliki aliangusha gari.	Mtu mwenye tabia mbaya alipiga van.
Mkatoliki alichukia mkuu wa kanisa.	Mtu safi alichukia vizir.
Mkatoliki alizungumza na mtawala.	Mtu mwenye chuki alizungumza na mtawala.
Mtu mmoja Mkatoliki alibadilisha tanuri.	Mtu mbaya alibadilisha tanuri.
Mkatoliki mmoja alianzisha urafiki na mfanyakazi mmoja.	Mtu mbaya alijifanya rafiki wa mfanyakazi.
Mkatoliki aliweka bajeti ya kuku.	Mtu mjanja aliweka bajeti ya kuku.
Mtu Mkatoliki anamiliki kompyuta.	Mtu mwenye udanganyifu huwa na kompyuta.
Mkatoliki alikutana na mtawala wa kujitegemea.	Mtu mwenye jeuri alikutana na mtawala wa kujitegemea.
Mtu Mkatoliki alichukia rubani.	Mtu mwenye hila alimchukia rubani.
Mkatoliki mmoja alimtembelea mtu mzima.	Mtu mwovu alimtembelea mtu mzima.
Mtu Mkatoliki alilipa kwa ajili ya kamera.	Mtu mwenye pupa alilipa kwa ajili ya kamera.
Mkatoliki fulani alimkatiza msimamizi.	Mtu mwenye akili alimkatiza msimamizi.
Mtu Mkatoliki alibadilishana sandwich.	Mtu asiye safi alibadilishana sandwich.
Mkatoliki mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu mwenye busara alifafanua mtu aliyemfahamu.
Mtu mmoja Mkatoliki alinunua televisheni.	Mtu mkatili alinunua televisheni.
Mtu Mkatoliki anaweza kumudu mashine ya kuhesabu.	Mtu asiye na uvumilivu anaweza kumudu mashine ya kuhesabu.
Mtu Mkatoliki aliweka bajeti ya sofa.	Mtu mbaya sana aliweka bajeti ya sofa.
Mkatoliki mmoja alimtembelea kolonele.	Mtu mwenye chuki alimtembelea Kanali.
Mtu Mkatoliki alipenda knight.	Mtu mtukutu alipenda mshairi.
Mtu mmoja Mkatoliki alitoa ng'ombe.	Mtu mwenye tabia mbaya alitoa ng'ombe.
Mtu Mkatoliki anamiliki TV.	Mtu mwenye nguvu anamiliki TV.
Mtu Mkatoliki aliweka bajeti ya gari moshi.	Mtu mwenye utaratibu aliweka bajeti ya gari moshi.
Mtu Mkatoliki alilipa kwa ajili ya sofa.	Mtu mbaya sana alilipa kwa ajili ya sofa.
Mtu Mkatoliki anamiliki bata.	Mtu mwenye akili ana bata.
Mtu Mkatoliki alibadilisha mavazi.	Mtu mzuri alibadilisha mavazi.
Mkatoliki alipenda jenerali.	Mtu mwenye akili alipendezwa na jenerali.
Mtu Mkatoliki anamiliki kiti.	Mtu mwenye tabia mbaya anamiliki kiti.
Mkatoliki alimpenda mkuu wa ukoo.	Mtu mwenye pupa alimpenda mkuu wa ukoo.
Mtu Mkatoliki aliuza mbuzi.	Mtu mbaya aliuza mbuzi.
Mkatoliki mmoja alizungumza na kiongozi.	Mtu mmoja mpole alizungumza na kiongozi.
Mtu Mkatoliki alimwita gavana.	Mtu mbaya sana aitwaye gavana.
Mtu mmoja Mkatoliki alitoa chombo cha kuunganisha.	Mtu mwenye chuki alitoa kifaa cha kuunganisha.
Mkatoliki mmoja alizungumza na mwanakondoo.	Mtu dhaifu alizungumza na mwanakondoo.
Mtu Mkatoliki alipenda msimamizi.	Mtu asiyejua kitu alimpenda msimamizi.
Mtu Mkatoliki alinunua peach.	Mtu mbaya alinunua peach.
Mkatoliki alivunja mazungumzo ya kijana.	Mtu mwenye haki alivunja mvulana mdogo.
Mtu Mkatoliki alibadilisha taa.	Mtu asiye safi alibadilisha taa.
Mtu mmoja Mkatoliki alimtambulisha meya.	Mtu mbaya alijitambulisha kwa meya.
Mtu Mkatoliki anamiliki stapler.	Mtu mwenye hekima anamiliki kifaa cha kuunganisha.
Mkatoliki mmoja alimtambua mzee mmoja.	Mtu mpumbavu alitambua mzee.
Mtu Mkatoliki aliuza chakula cha mchana.	Mtu mwenye tabia mbaya aliuza chakula cha mchana.
Mtu Mkatoliki alimtambua sultani.	Mtu mwenye akili alimtambua sultani.
Mtu Mkatoliki alimpenda sultani.	Mtu mkatili alimpenda sultani.
Mkatoliki alimkatiza mtu mwenye cheo cha juu.	Mtu mpumbavu alimkatiza mtu mwenye cheo cha juu.
Mtu mmoja Mkatoliki aliuza friji.	Mtu mzuri aliuza friji.
Mtu mmoja Mkatoliki alizungumza na Don.	Mtu mwaminifu alizungumza na Don.
Mkatoliki alilipa kwa ajili ya mbuzi.	Mtu mwenye akili alilipa kwa mbuzi.
Mtu mmoja Mkatoliki alitoa gari.	Mtu mwenye kiburi alitoa gari.
Mkatoliki mmoja alizungumza na mwanakondoo.	Mtu mwenye pupa alizungumza na mwanakondoo.
Mtu Mkatoliki aitwaye bwana mkuu.	Mtu mwenye kiburi aitwaye bwana mkubwa.
Mtu Mkatoliki aliweka bajeti ya kiti.	Mtu mwenye chuki aliweka bajeti ya kiti.
Mkatoliki mmoja alizungumza na mtu mzima.	Mtu mzuri alizungumza na mtu mzima.
Mtu Mkatoliki aliweka bajeti ya heater.	Mtu mwenye akili aliweka bajeti ya heater.
Mkatoliki alichukia mgeni.	Mtu mwenye akili alichukia mgeni.
Mkatoliki mmoja alimtembelea msimamizi.	Mtu mjinga alimtembelea meneja.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mpumbavu anaweza kumudu gari.
Mtu Mkatoliki alibadilisha kabati.	Mtu asiye na ujuzi alibadilisha kabati.
Mtu Mkatoliki alitoa kifaa cha kusikiliza sauti.	Mtu mwovu alitoa kipaza sauti.
Mkatoliki fulani alimkatiza mfanyakazi.	Mtaalamu alivunja mfanyakazi.
Mtu Mkatoliki alizuru kabila.	Mtu mwovu alizuru kabila.
Mtu Mkatoliki alilipa kwa ajili ya nyati.	Mtu mwenye akili alilipa kwa ajili ya nyati.
Mkatoliki alimtembelea makamu wa rais.	Mtu mwenye kiburi alimtembelea makamu wa rais.
Mtu Mkatoliki alilipa kwa ajili ya kitanda.	Mtu mbaya sana alilipa kwa ajili ya kitanda.
Mtu Mkatoliki aliuza burger.	Mtu asiye na ujuzi aliuza burger.
Mtu mmoja Mkatoliki alitoa meza.	Mtu mpumbavu alitoa meza.
Mtu Mkatoliki anaweza kumudu televisheni.	Mtu mwenye akili anaweza kumudu televisheni.
Mtu Mkatoliki aliokoa pete.	Mtu mwenye utaratibu aliokoa pete.
MKatolika mmoja alimtembelea mwenye nyumba.	Mtu mkatili alimtembelea mwenye nyumba.
Mtu Mkatoliki alipenda mtoto mchanga.	Mtu mbaya sana alipenda mtoto mchanga.
Mkatoliki mmoja alifanya urafiki na mtawala mmoja.	Mtu mwenye hekima alianzisha urafiki na mtawala wa kiume.
Mtu Mkatoliki alimpenda gavana.	Mtu mbaya sana alipenda gavana.
Mkatoliki alizungumza na mtawala.	Mtu asiye safi alizungumza na mtawala.
Mtu Mkatoliki anamiliki burger.	Mtu mbaya anamiliki burger.
Mtu Mkatoliki alioka burger.	Mtu mwovu alioka burger.
Mtu Mkatoliki alimpenda jamaa yake.	Mtu mwenye akili alipenda jamaa.
Mkatoliki mmoja alizungumza na askofu.	Mtu mmoja mwenye fadhili alizungumza na askofu.
Mkatoliki anaweza kumudu kuku.	Mtu asiye na elimu anaweza kumudu kuku.
Mtu mmoja Mkatoliki alibadilisha televisheni.	Mtu fulani mwenye udanganyifu alibadilisha televisheni.
Mtu Mkatoliki alikula apple.	Mtu mwenye hekima alikula tunda.
Mkatoliki alikutana na mtu mashuhuri.	Mtu mwenye akili alipata kuonana na mtu mashuhuri.
Mtu Mkatoliki aliokoa ndama.	Mtu mbaya sana aliokoa ndama.
Mtu Mkatoliki aliweka bajeti ya kuuza zulia.	Mtu asiye na ucheshi aliweka bajeti ya kuuza zulia.
Mkatoliki mmoja alizungumza na ofisa mmoja.	Mtu mzuri alizungumza na mtu mwenye cheo cha juu.
Mkatoliki alikutana na Kanali.	Mtu mwenye jeuri alikutana na Kanali.
Mkatoliki alimtembelea mtawala wa kiimla.	Mtu mwenye hekima alimtembelea mtawala mwenye nguvu.
Mkatoliki alimkatiza mtawala.	Mtu mzuri alivunja mfalme.
Mtu Mkatoliki alikula pizza.	Mtu mkali alikula pizza.
Mtu Mkatoliki anaweza kumudu gari moshi.	Mtu mwenye akili anaweza kumudu gari moshi.
Mtu Mkatoliki aliweka bajeti ya koti.	Mtu asiye na ucheshi aliweka bajeti ya koti.
Mtu Mkatoliki alilipa kwa ajili ya kiti cha mkono.	Mtu mwovu alilipa kwa ajili ya kiti cha mkono.
Mtu mmoja Mkatoliki aliuza friji.	Mtu mwenye udanganyifu aliuza friji.
Mtu Mkatoliki aliweka bajeti ya shati.	Mtu asiye na ujuzi wa bajeti kwa shati.
