Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi mmoja aliuza kitanda.	Mtu mpumbavu aliuza kitanda.
Myahudi mmoja alitoa redio.	Mtu mbaya alitoa redio.
Myahudi alichukia mtawala.	Mtu mpumbavu alichukia mtawala.
Myahudi mmoja alibadilisha basi.	Mtu mwenye udanganyifu alibadilisha basi.
Myahudi mmoja alitoa saladi.	Mtaalamu alitoa saladi.
Myahudi alilipa kwa ajili ya toaster.	Mtu mwenye akili alilipa kwa ajili ya toaster.
Myahudi alichukia mteja.	Mtu mwenye akili alichukia mteja.
Myahudi mmoja alizungumza na mtawala.	Mtu mwenye akili alizungumza na mrithi.
Myahudi alilipa kwa saa.	Mtu mkatili alilipa kwa saa.
Myahudi mmoja alikutana na kijana mmoja.	Mtu asiyejua kitu alikutana na kijana.
Myahudi fulani alimpenda ofisa mmoja.	Mtu dhaifu alimpenda mkuu wa shule.
Myahudi aliweka bajeti ya koti.	Mtu dhaifu aliweka bajeti ya koti.
Myahudi alilipa kwa ajili ya tofaa.	Mtu mwenye udanganyifu alilipa kwa ajili ya tofaa.
Myahudi alimkatiza tajiri.	Mtu mchafu alimkatiza tajiri.
Myahudi alibadilisha basi.	Mtu mwaminifu alibadilisha basi.
Myahudi aliokoa basi.	Mtu mbaya aliokoa basi.
Myahudi mmoja alimwita makamu wa rais.	Mtu mwovu alimwita makamu wa rais.
Myahudi mmoja alimtembelea mtu mmoja mashuhuri.	Mtu mchafu alimtembelea mtu mwenye cheo cha juu.
Myahudi alikula tunda.	Mtu mwenye usafi alikula apple.
Myahudi fulani alizungumza na nahodha mmoja.	Mtu asiye na maarifa alizungumza na nahodha.
Myahudi mmoja aliokoa koti.	Mtu mwenye kiburi aliokoa koti.
Myahudi alibadilishana chakula.	Mtu mwema alibadilishana chakula.
Myahudi aliyeitwa kiongozi.	Mtu mpumbavu aitwaye kiongozi.
Myahudi mmoja alikuwa rafiki wa kiongozi mmoja.	Mtu mwenye tabia mbaya alishirikiana na mkuu.
Myahudi mmoja alitoa rafu ya vitabu.	Mtu mmoja mchafu alitoa rafu ya vitabu.
Myahudi alijitambulisha kuwa mtu mzima.	Mtu asiye na ucheshi alijitambulisha kuwa mtu mzima.
Myahudi mmoja alikutana na msimamizi.	Mtu mzuri alikutana na meneja.
Myahudi alimwita mtu wa jamaa yake.	Mtu mwenye kiburi alimwita jamaa.
Myahudi mmoja aliuza ng'ombe.	Mtu mbaya sana alibadilisha ng'ombe.
Myahudi mmoja aliitwa mwenyekiti.	Mtu mbaya sana aitwaye mwenyekiti.
Myahudi alimkatiza mtawala mmoja.	Mtu mwenye hekima alimkatiza mtawala mmoja.
Myahudi mmoja alimtembelea mfalme.	Mtu mwenye akili alimtembelea mfalme.
Myahudi mmoja alikutana na msimamizi.	Mtu mkarimu alikutana na msimamizi.
Myahudi alibadilisha meza.	Mtu mbaya alibadilisha meza.
Myahudi anamiliki mashine ya kuchapisha.	Mtu mwenye akili ana printer.
Myahudi alichukia mtendaji.	Mtu mchafu alichukia mtendaji.
Myahudi alibadilisha toaster.	Mtu mbaya alibadilisha toaster.
Myahudi fulani alimkatiza kamanda.	Mtu mwenye hila alimkatiza kamanda.
Myahudi mmoja alikutana na mjumbe wa baraza la mawaziri.	Mtu mbaya alikutana na mwanasheria.
Myahudi mmoja aliuza chakula cha mchana.	Mtaalamu aliuza chakula cha mchana.
Myahudi aliokoa benchi.	Mtu mwenye chuki aliokoa benchi.
Myahudi mmoja alizuru kikundi cha watu.	Mtu mwenye nguvu alitembelea kundi la watu.
Myahudi mmoja alimtembelea bwana mkubwa.	Mtu mkatili alimtembelea bwana mkubwa.
Myahudi mmoja alikuwa rafiki wa mwenyekiti.	Mtu mpole alifanya urafiki na mwenyekiti.
Myahudi alibainisha ukoo.	Mtu mwaminifu alibainisha ukoo.
Myahudi mmoja alioka donut.	Mtu mwovu alioka donut.
Myahudi mmoja alizungumza na mtawala.	Mtu mwenye hila alizungumza na mtawala.
Myahudi mmoja alimtembelea mfanyakazi.	Mtu mwema alimtembelea mfanyakazi.
Myahudi alichukia tajiri.	Mtu asiyejua alichukia tajiri.
Myahudi alipenda mwanajeshi.	Mtu asiye na ucheshi alimpenda mwanajeshi.
Myahudi alilipa kwa ajili ya taa.	Mtu mpumbavu alilipa kwa taa.
Myahudi anaweza kumudu televisheni.	Mtu mkarimu anaweza kumudu televisheni.
Myahudi mmoja alioka mkate.	Mtu mwenye hila amepika mkate.
Myahudi aliitwa mtu mzima.	Mtu mkarimu aitwaye mtu mzima.
Myahudi alianguka kwenye gari moshi.	Mtu mwenye akili aliharibu gari moshi.
Myahudi mmoja alitoa mchango wa punda.	Mtu mmoja mwenye fadhili alitoa punda.
Myahudi alilipa kwa gari.	Mtu mwenye chuki alilipa kwa gari.
Myahudi mmoja alinunua keki.	Mtu mbaya alinunua keki.
Myahudi mmoja alinunua bluu.	Mtu mwenye chuki alinunua blauzi.
Myahudi mmoja alinunua gari moshi.	Mtu mnyofu alinunua gari moshi.
Myahudi anamiliki koti.	Mtu mkarimu ana koti.
Myahudi mmoja alilipa kwa ajili ya mashine ya kuchapisha.	Mtu mwenye akili alilipa kwa ajili ya printer.
Myahudi alipenda mtoto mchanga.	Mtu asiye na ujuzi alipenda mtoto mchanga.
Myahudi alikutana na tajiri.	Mtu mwenye usafi alikutana na tajiri.
Myahudi alimtambulisha baba mkwe wake.	Mtu mpumbavu alitambua mkwewe.
Myahudi mmoja alifanya urafiki na mtawala mmoja.	Mtu mwenye akili alijifanya rafiki wa oligarch.
Myahudi mmoja alikutana na mjumbe wa baraza la mawaziri.	Mtaalamu alikutana na mwanakondoo.
Myahudi aliweka bajeti ya simu.	Mtaalamu wa simu ana bajeti ya simu.
Myahudi alimkatiza kijana.	Mtu fulani mwenye ukarimu alimkatiza kijana fulani.
Myahudi alipenda mpenzi wake.	Mtu mchafu alipenda mpenzi.
Myahudi alipenda mtu mzima.	Mtu mwenye hekima alimpenda mtu mzima.
Myahudi aliokoa friji.	Mtu safi aliokoa friji.
Myahudi aliweka bajeti ya kula burger.	Mtu mwenye kiburi aliweka bajeti ya burger.
Myahudi aliokoa kiti cha magurudumu.	Mtu mwenye udanganyifu aliokoa kiti cha magurudumu.
Myahudi aliyeitwa Waziri.	Mtu mkatili aitwaye vizier.
Myahudi alilipa kwa ajili ya saladi.	Mtu mwenye pupa alilipa kwa ajili ya saladi.
Myahudi mmoja aliuza gari la jeep.	Mtu mwenye akili aliuza gari la jeep.
Myahudi alipendezwa na seneta.	Mtu mwenye haki alimpenda seneta.
Myahudi alilipa kwa ajili ya aproni.	Mtu mwenye hekima alilipa kwa ajili ya aproni.
Myahudi mmoja alitoa redio.	Mtu dhaifu alitoa redio.
Myahudi mmoja alianzisha urafiki na mtawala fulani mkatili.	Mtu asiye safi alishirikiana na mtawala mkatili.
Myahudi mmoja alinunua pete.	Mtu mwenye chuki alinunua pete.
Myahudi anamiliki cape.	Mtu mwenye jeuri anamiliki cape.
Myahudi mmoja alitoa kibanda.	Mtu mwenye udanganyifu alitoa kibanda.
Myahudi mmoja alibadilisha kuku.	Mtu mmoja mwenye fadhili alibadilisha kuku.
Myahudi alikutana na mshairi.	Mtu mwenye pupa alikutana na mshairi.
Myahudi alichukia dikteta.	Mtu dhaifu alimchukia dikteta.
Myahudi alipenda mteja.	Mtu mwema alimpenda mteja.
Myahudi mmoja alitoa viazi.	Mtu asiye safi alitoa viazi.
Myahudi anaweza kumudu kuku.	Mtu mwenye chuki anaweza kumudu kuku.
Myahudi alilipa kwa ajili ya nguo.	Mtu mwaminifu alilipa kwa ajili ya smoking.
Myahudi mmoja alibadilisha gari moshi.	Mtu mwenye akili alibadilisha gari moshi.
Myahudi alichukia mtawala mkatili.	Mtu mbaya alichukia mtawala wa kimabavu.
Myahudi mmoja alimtembelea msimamizi.	Mtu fulani mwenye udanganyifu alimtembelea msimamizi.
Myahudi fulani alimtambulisha mkaaji fulani.	Mtu mwovu alimtambua mkaaji.
Myahudi alibadilishana viazi.	Mtu mwenye chuki alibadilishana viazi.
Myahudi alimpenda dikteta.	Mtu mchafu alipenda dikteta.
Myahudi alipika viazi.	Mtu mwenye akili alipika viazi.
Myahudi fulani alimkatiza mwakilishi wa serikali.	Mtu dhaifu alimkatiza mwakilishi.
Myahudi alipenda kundi la watu.	Mtu mbaya alipenda kundi.
Myahudi alilipa kwa ajili ya tanuru.	Mtu mwenye chuki alilipa kwa ajili ya tanuri.
Myahudi alikutana na mtu mzima.	Mtu mzuri alikutana na mtu mzima.
Myahudi alipenda bosi wake.	Mtu mwenye akili nyingi alipenda bosi.
Myahudi aliweka bajeti ya gari.	Mtu mzuri sana aliweka bajeti ya gari.
Myahudi mmoja aliokoa ndama.	Na mtu mwenye hila akamwokoa ndama.
Myahudi mmoja aliuza gari la aina ya SUV.	Mtu mzuri aliuza gari la aina ya SUV.
Myahudi alichukia wakazi wa eneo hilo.	Mtu mbaya alichukia mkaaji.
Myahudi alipenda meneja.	Mtu mbaya sana alipenda meneja.
Myahudi fulani alimchukia mwalimu mkuu.	Mtu mbaya alimchukia mwalimu mkuu.
Myahudi aliokoa saladi.	Mtu mwema aliokoa saladi.
Myahudi alipenda mtu mzima.	Mtu mwenye utaratibu alipenda mtu mzima.
Myahudi anamiliki ng'ombe.	Mtu mbaya anamiliki ng'ombe.
Myahudi alitayarisha donut.	Mtu mwenye pupa alitayarisha donati.
Myahudi mmoja alinunua suti.	Mtu mkatili alinunua suti.
Myahudi mmoja aliuza sungura.	Mtu mzuri aliuza sungura.
Myahudi alibadilishana kiatu.	Mtu safi alibadilishana kiatu.
Myahudi alibadilisha kiti cha kuwekea.	Mtu fulani mwenye hila alibadilisha kiti cha kuchezea.
Myahudi mmoja alikutana na amiri.	Mtu asiye na uvumilivu alikutana na amiri.
Myahudi alibadilishana aproni.	Mtu mzuri alibadilishana aproni.
Myahudi alipenda mkuu wa shule.	Mtu safi alipenda mkuu wa shule.
Myahudi alipenda mtawala.	Mtu mwenye pupa alimpenda mtawala.
Myahudi alilipa kwa ajili ya punda.	Mtu mwenye hila alilipa kwa ajili ya punda.
Myahudi anaweza kumudu kuwa na tanuru.	Mtu asiye na ucheshi anaweza kumudu tanuri.
Myahudi aliweka bajeti ya ndizi.	Mtu mwenye akili aliweka bajeti ya ndizi.
Myahudi anamiliki smoking.	Mtu dhaifu anamiliki suti.
Myahudi alilipa kwa ajili ya kiatu.	Mtu mwenye chuki alilipa kwa ajili ya kiatu.
Myahudi fulani alizungumza na kasisi.	Mtu mzuri alizungumza na padri.
Myahudi anamiliki kitanda.	Mtu asiye safi anamiliki kitanda.
Myahudi anaweza kumudu kitambaa.	Mtu mwema anaweza kumudu kitambaa.
Myahudi mmoja alinunua nyati.	Mtaalamu alinunua nyati.
Myahudi alimpenda papa.	Mtu mwenye hekima alimpenda papa.
Myahudi alikutana na bosi.	Mtu mwenye chuki alikutana na bosi.
Myahudi alikuwa akiendesha gari.	Mtu mwenye kiburi aliendesha gari.
Myahudi alikutana na kabila.	Mtaalamu alikutana na kabila.
Myahudi mmoja alikutana na mtawala mmoja.	Mtu asiye na uvumilivu alikutana na oligarch.
Myahudi alilipa kwa ajili ya tanuru.	Mtu mwenye nguvu alilipa kwa ajili ya tanuri.
Myahudi alilipa nauli ya basi.	Mtu mpumbavu alilipa kwa ajili ya basi.
Myahudi mmoja alizuru kikundi cha watu.	Mtu mbaya alizuru kikundi.
Myahudi alibadilisha kompyuta.	Mtu mwenye hekima alibadilisha kompyuta.
Myahudi alitaja mzee wa ukoo.	Mtu asiye na maarifa alipata mzee wa ukoo.
Myahudi alioka tunda.	Mtu dhaifu alichemsha apple.
Myahudi mmoja alikutana na jirani yake.	Mtu mzuri alikutana na jirani.
Myahudi mmoja alibadilishana sandwich.	Mtu mmoja mwenye hila alibadilishana sandwich.
Myahudi alikutana na mshairi.	Mtu mwovu alikutana na mshairi.
Myahudi mmoja alitoa gari.	Mtu mmoja mwenye fadhili alitoa gari.
Myahudi anamiliki mkahawa.	Mtu mwenye pupa anamiliki kiamsha-kinywa.
Myahudi aliweka bajeti ya mbwa.	Mtu mkatili aliweka bajeti kwa ajili ya mbwa.
Myahudi anaweza kununua viatu.	Mtu mwovu anaweza kumudu kiatu.
Myahudi anamiliki TV.	Mtu mwenye hila anamiliki televisheni.
Myahudi aliyemtambua ni mtawala wa kujitegemea.	Mtu mwenye akili alimtambua mtawala wa kujitegemea.
Myahudi alibadilisha nguo.	Mtu mwenye chuki alibadilisha nguo.
Myahudi alichukia mfalme.	Mtu asiye na maarifa alichukia mfalme.
Myahudi alimpenda amirali.	Mtu mchafu alimpenda amirali.
Myahudi alipenda kuwa na msimamizi.	Mtu mzuri alipenda mkuu wa shule.
Myahudi mmoja alitoa gari.	Mtu mwenye tabia mbaya alitoa gari.
Myahudi mmoja alinunua sungura.	Mtu mwenye akili alinunua sungura.
Myahudi aliweka bajeti ya sofa.	Mtu mwenye pupa aliweka bajeti ya sofa.
Myahudi aliokoa peach.	Mtu asiyejua kitu aliokoa peach.
Myahudi alizungumza na mtu muhimu.	Mtu mchafu alizungumza na VIP.
Myahudi anaweza kumudu gari.	Mtu asiye safi anaweza kumudu gari.
Myahudi alikuwa akiendesha gari.	Mtu mwenye utaratibu aliendesha gari.
Myahudi mmoja aliuza bata.	Mtu mwenye hasira alibadilisha bata.
Myahudi mmoja alimtembelea meneja.	Mtu mmoja mnyofu alimtembelea meneja.
Myahudi mmoja aliuza gari.	Mtu mzuri aliuza gari.
Myahudi anaweza kumudu sofa.	Mtu mwenye hasira anaweza kumudu sofa.
Myahudi alilipa kwa ajili ya pudding.	Mtu mpumbavu alilipa kwa ajili ya pudding.
Myahudi alilipa kwa ajili ya koti.	Mtu mpumbavu alilipa kwa ajili ya koti.
Myahudi mmoja aliuza taa.	Mtu mwenye hasira alibadilisha taa.
Myahudi mmoja aliokoa mwana-kondoo.	Mtu mwenye nguvu aliokoa mwana-kondoo.
Myahudi mmoja alimtambulisha kiongozi fulani.	Mtu mwenye chuki alimtambua mkuu wa ukoo.
Myahudi mmoja alinunua ng'ombe.	Mtu mmoja mkarimu alinunua ng'ombe.
Myahudi mmoja alizungumza na msimamizi wake.	Mtu mwenye akili alizungumza na bosi.
Myahudi alilipa kwa nguruwe.	Mtu mwenye akili alilipa kwa nguruwe.
Myahudi alikula kiamsha kinywa.	Mtu mwenye tabia mbaya alikula kiamsha kinywa.
Myahudi alilipa kwa ajili ya aproni.	Mtu mwenye hila alilipa kwa ajili ya aproni.
Myahudi alipenda kiongozi wake.	Mtu asiye safi alimpenda kiongozi.
Myahudi alipenda mwenye nyumba.	Mtu mwenye akili alipendezwa na mmiliki.
Myahudi mmoja aliuza toaster.	Mtu mwovu aliuza toaster.
Myahudi alilipa kwa ajili ya taa.	Mtu mwenye pupa alilipa kwa ajili ya taa.
Myahudi mmoja alibadilisha muffin.	Mtu asiye na maarifa alibadilisha muffin.
Myahudi mmoja alimtembelea kiongozi.	Mtu asiye safi alimtembelea kiongozi.
Myahudi mmoja alimpenda mzee mmoja.	Mtu mbaya alipenda mstaafu.
Myahudi fulani alimkatiza kamanda.	Mtu mwenye akili alimkatiza kamanda.
Myahudi alikutana na makamu wa rais.	Mtu dhaifu alikutana na makamu wa rais.
Myahudi aliweka bajeti ya kitanda.	Mtu mkali aliweka bajeti ya kitanda.
Myahudi mmoja alinunua sofa.	Mtu asiye na maarifa alinunua sofa.
Myahudi alikutana na mtawala mkatili.	Mtu safi alikutana na mtawala wa kikatili.
Myahudi mmoja alimtambua earl.	Mtu mwenye pupa alimtambua earl.
Myahudi mmoja alianzisha urafiki na kikundi cha wafanyakazi.	Mtu mwenye fadhili alianzisha urafiki na wafanyakazi.
Myahudi mmoja alizungumza na kiongozi wa Kiyahudi.	Mtu mwenye tabia mbaya alizungumza na emir.
Myahudi alimkatiza mtu mzima.	Mtu asiye na maarifa alimkatiza mtu mzima.
Myahudi aliweka bajeti ya kiti cha magurudumu.	Mtu safi aliweka bajeti ya kiti cha mkono.
Myahudi anamiliki sofa.	Mtu asiye na ujuzi ana sofa.
Myahudi alipenda kuwa na kiongozi.	Mtu mpumbavu alipenda bosi.
Myahudi aliokoa sofa.	Mtu asiye safi aliokoa sofa.
Myahudi alizungumza na mtu mwenye cheo cha juu.	Mtu mpumbavu alizungumza na mtu mwenye cheo.
Myahudi mmoja alinunua rafu ya vitabu.	Mtu mmoja mwenye fadhili alinunua rafu ya vitabu.
Myahudi mmoja aliuza gari.	Mtu mwenye hekima aliuza gari.
Myahudi mmoja alimtambulisha amirali.	Mtu mwenye nguvu alitambua amirali.
Myahudi alipenda mkuu wa kanisa.	Mtu mchafu alipenda mkuu wa shule.
Myahudi mmoja aliuza mashine ya kuhesabu.	Mtu mwenye akili aliuza calculator.
Myahudi aliweka bajeti ya gari.	Mtu mwenye pupa aliweka bajeti ya gari.
Myahudi mmoja aliuza sofa.	Mtu mwenye akili aliuza sofa.
Myahudi mmoja aliitwa Dekan.	Mtu mpumbavu aitwaye Dean.
Myahudi aliweka bajeti ya gari la jeep.	Mtu mbaya aliweka bajeti ya gari la jeep.
Myahudi mmoja aliokoa toaster.	Mtu mwenye akili aliokoa toaster.
Myahudi mmoja alibadilisha toaster.	Mtu fulani mwenye hila alibadilisha toaster.
Myahudi mmoja alinunua kompyuta ndogo.	Mtu mbaya alinunua laptop.
Myahudi alilipa kwa nguruwe.	Mtu mkatili alilipa kwa nguruwe.
Myahudi mmoja aliuza vazi.	Mtu mwenye akili aliuza kanzu.
Myahudi mmoja aliuza televisheni.	Mtu mkatili aliuza televisheni.
Myahudi anaweza kumudu kabati.	Mtu mwenye akili anaweza kumudu kabati.
Myahudi anaweza kununua suti.	Mtu asiye na elimu anaweza kumudu suti.
Myahudi alikutana na nahodha.	Mtu mwaminifu alikutana na nahodha.
Myahudi aliangusha gari la jeep.	Mtu mwenye chuki aliharibu gari la jeep.
Myahudi mmoja aliuza pizza.	Mtu mwenye kiburi aliuza pizza.
Myahudi mmoja alibadilisha taa.	Mtu mwenye hasira alibadilisha taa.
Myahudi alimpenda rais.	Mtu asiye na ujuzi alimpenda rais.
Myahudi alibadilisha kabati.	Mtu fulani mwenye hila alibadilisha kabati.
Myahudi mmoja alitoa paka.	Mtu asiye na uvumilivu alitoa paka.
Myahudi mmoja alifanya urafiki na msimamizi.	Mtu mwenye hekima alianzisha urafiki na mtawala.
Myahudi mmoja alimtambulisha mstaafu.	Mtu mbaya alijitambulisha kama mstaafu.
Myahudi mmoja alizungumza na mtawala fulani.	Mtu mzuri alizungumza na bwana mkubwa.
Myahudi mmoja aliuza farasi.	Mtu safi alibadilisha farasi.
Myahudi mmoja alinunua sofa.	Mtu mchafu alinunua sofa.
Myahudi anaweza kumudu friji.	Mtu mwenye utaratibu anaweza kumudu friji.
Myahudi aliokoa sofa.	Mtu mchafu aliokoa sofa.
Myahudi fulani aliandaa keki.	Mtu mnyofu alitayarisha keki.
Myahudi mmoja alianzisha urafiki na meya.	Mtu mpumbavu alifanya urafiki na meya.
Myahudi alimpenda jenerali.	Mtu asiye na ucheshi alimpenda jenerali.
Myahudi alimkatiza sultani.	Mtu mwenye hasira alimkatiza sultani.
Myahudi anamiliki gari.	Mtu mbaya anamiliki gari.
Myahudi aliweka bajeti ya toaster.	Mtu mbaya aliweka bajeti ya toaster.
Myahudi alichukia watu mashuhuri.	Mtu mwenye hekima alichukia watu mashuhuri.
Myahudi alikuwa rafiki wa mfalme.	Mtu asiye na uvumilivu alishirikiana na mtawala.
Myahudi mmoja alikuwa rafiki wa mwenyekiti.	Mtu asiye na uvumilivu alishirikiana na mwenyekiti.
Myahudi mmoja aliuza saladi.	Mtu mbaya sana aliuza saladi.
Myahudi mmoja alimpenda kijana.	Mtu asiyejua kitu alimpenda kijana.
Myahudi alikuwa akiendesha gari.	Mtu asiye na ujuzi aliendesha gari.
Myahudi mmoja alikuwa rafiki wa kamanda.	Mtu asiyejua kitu alijifanya rafiki wa kamanda.
Myahudi alikula keki.	Mtu mwenye chuki alikula keki.
Myahudi aliokoa mashine ya kuunganisha.	Mtu dhaifu aliokoa stapler.
Myahudi mmoja alitoa koti.	Mtu asiye na uvumilivu alitoa koti.
Myahudi mmoja alimtembelea mtawala mmoja mkatili.	Mtu mkatili alimtembelea mtawala mkatili.
Myahudi alipenda kijana.	Mtu mwovu alimpenda kijana.
Myahudi mmoja alizungumza na askari mmoja.	Mtu mwenye hasira alizungumza na mpiganaji.
Myahudi mmoja alimtambulisha mkuu wa shule.	Mtu mchafu alitambua mkuu wa shule.
Myahudi mmoja alifanya urafiki na kasisi.	Mtu mwenye nguvu alianzisha urafiki na kasisi.
Myahudi alikuwa rafiki wa mtu wa ukoo.	Mtu asiye na ujuzi alianzisha urafiki na jamaa.
Myahudi mmoja alizungumza na mtu fulani aliyemfahamu.	Mtu mwenye nguvu alizungumza na mtu aliyemfahamu.
Myahudi fulani alimtembelea jirani yake.	Mtu asiye na maarifa alimtembelea jirani yake.
Myahudi mmoja aliuza nguo.	Mtu asiye safi aliuza suti.
Myahudi anamiliki donut.	Mtu mwenye akili anamiliki donut.
Myahudi mmoja alinunua mbwa.	Mtu mwenye pupa alinunua mbwa.
Myahudi alikula chakula.	Mtu mwenye nguvu alikula chakula.
Myahudi aliweka bajeti ya mavazi.	Mtu mwenye udanganyifu aliweka bajeti ya mavazi.
Myahudi mmoja alimtembelea mkurugenzi.	Mtu mbaya alimtembelea mkurugenzi.
Myahudi mmoja alimtembelea kamanda.	Mtu mwema alimtembelea kamanda.
Myahudi mmoja alimtambulisha mtu fulani.	Mtu asiye na ujuzi alibainisha mtu.
Myahudi fulani alimkatiza mtawala.	Mtu mbaya alimkatiza mtawala.
Myahudi alilipa kwa mashine ya kuunganisha.	Mtu mpumbavu alilipa kwa stapler.
Myahudi alipenda mkuu wa shule.	Mtu mbaya alipenda mkuu wa shule.
Myahudi mmoja alimtembelea meya.	Mtu mwenye akili alimtembelea meya.
Myahudi mmoja aliuza kompyuta.	Mtu mkarimu aliuza kompyuta.
Myahudi alimpenda jenerali.	Mtu mwenye jeuri alimpenda jenerali.
Myahudi mmoja alimtambulisha mtawala.	Mtu asiye na ujuzi alibainisha mteule.
Myahudi mmoja alimtambulisha kamanda.	Mtu mwenye kiburi alimtambua kamanda.
Myahudi anamiliki mbwa.	Mtu mkarimu ana mbwa.
Myahudi alikutana na mteja.	Mtu mwenye nguvu alikutana na mteja.
Myahudi mmoja alimtembelea nahodha.	Mtu mwenye hekima alimtembelea nahodha.
Myahudi alipenda rais.	Mtu mwenye akili alipenda mwenyekiti.
Myahudi mmoja aliuza peach.	Mtu mbaya aliuza peach.
Myahudi mmoja alitoa kamera.	Mtu asiye na elimu alitoa kamera.
Myahudi mmoja alitoa suti.	Mtu asiye mtaalamu alitoa tux.
Myahudi mmoja alibadilisha gari la aina ya SUV.	Mtu mwenye akili alibadilisha gari la aina ya SUV.
Myahudi alikutana na mtu mzima.	Mtu safi alikutana na mtu mzima.
Myahudi mmoja alitoa kuku.	Mtu mwovu alitoa kuku.
Myahudi mmoja alimtembelea mfalme.	Mtu mwenye pupa alimtembelea mfalme.
Myahudi alikula keki.	Mtu mkali alitumia brownie.
Myahudi aitwaye Skipper.	Mtu mtukutu aitwaye Skipper.
Myahudi alilipa kwa kuku.	Mtu mwenye jeuri alilipa kwa kuku.
Myahudi mmoja alitoa mchango wa chakula cha mchana.	Mtu asiye na ucheshi alitoa chakula cha mchana.
Myahudi mmoja alitayarisha viazi.	Mtu mwenye fadhili aliandaa viazi.
Myahudi alipenda mtawala.	Mtu mwenye kiburi alipenda mtawala.
Myahudi aliyeitwa mtawala.	Mtu mpumbavu aitwaye mtawala.
Myahudi mmoja aliokoa gari.	Mtu asiye na ucheshi aliokoa gari.
Myahudi mmoja alikutana na gavana.	Mtu mchafu alikutana na gavana.
Myahudi mmoja alimtambulisha mfanyakazi mmoja.	Mtu mpumbavu alitambua mfanyakazi.
"Myahudi aitwaye "" bosi ""."	Mtu mpole aitwaye bosi.
Myahudi alimpenda seneta.	Mtu mwovu alimpenda seneta.
Myahudi aliweka bajeti ya mkate.	Mtu asiye safi aliweka bajeti ya mkate.
Myahudi alipenda mtu anayemfahamu.	Mtu safi alipenda mtu anayejulikana.
Myahudi alipenda earl.	Mtu mpumbavu alipenda earl.
Myahudi mmoja alimtambulisha waziri.	Mtu mbaya sana alimtambua Waziri.
Myahudi alibadilishana chakula cha jioni.	Mtu mzuri alibadilishana chakula cha jioni.
Myahudi mmoja alitoa koti.	Mtu mzuri alitoa koti.
Myahudi mmoja alitaja mtu mashuhuri.	Mtu asiye na ujuzi alibainisha mtu mashuhuri.
Myahudi aliweka bajeti ya sofa.	Mtu mzuri sana aliweka bajeti ya sofa.
Myahudi mmoja alitoa kabati.	Mtu mbaya alitoa kabati.
Myahudi alimaliza kula chakula cha mchana.	Mtu mwenye tabia mbaya alimaliza chakula cha mchana.
Myahudi mmoja alitoa mbuzi.	Mtu dhaifu alitoa mbuzi.
Myahudi mmoja alibadilisha mbuzi.	Mtu fulani mwenye hila alibadilisha mbuzi.
Myahudi fulani alimtambulisha mkaaji fulani.	Mtu mwenye pupa alimtambua mkaaji.
Myahudi mmoja aliuza kiti.	Mtu mbaya aliuza kiti.
Myahudi mmoja aliandaa sandwich.	Mtu mkarimu aliandaa sandwich.
Myahudi mmoja alimtembelea mtu wa jamaa yake.	Mtu asiye na utani alimtembelea mtu wa ukoo.
Myahudi aliweka bajeti ya taa.	Mtu mwenye hekima aliweka bajeti ya taa.
Myahudi aliyeitwa mfuasi.	Mtaalamu wa kazi aitwaye mfuasi.
Myahudi alilipa kwa ajili ya kabati.	Mtu mpumbavu alilipa kwa ajili ya baraza la mawaziri.
Myahudi mmoja alimpenda hakimu.	Mtaalamu alipenda hakimu.
Myahudi aliokoa kuku.	Mtu mkatili aliokoa kuku.
Myahudi anamiliki kiti.	Mtu mkatili anamiliki kiti.
Mtu Myahudi aitwaye Papa.	Mtu mwenye tabia mbaya aitwaye Papa.
